date,station_name,station_depth_m,sample_depth_m,sample_depth_category,time,lat,lon,wind_speed,sky,secchi_depth,ctd_temp,ctd_specific_conductivity,ctd_beam_attenuation,ctd_transmission,ctd_dissolved_oxygen,ctd_par,turbidity,particulate_microcystin,dissolved_microcystin,extracted_phycocyanin,extracted_chla,total_cyano_genes,mcye_genes,total_p,total_dissolved_p,soluble_reactive_p,ammonia,nitrate_nitrite,particulate_organic_c,particulate_organic_n,cdom,tss,vss
7/18/2022,WE8,,3.9,Bottom,,,,,,,25,342.1,2.4,54.5,7.59,0.1,,4.42,0.75,300.57,58.23,,,,,,,,,,1.99,,
7/18/2022,WE9,2.24,0.75,Surface,11:47,41.7184,-83.4256,3.89,cloudy,0.5,25.5,432.9,,,4.56,1018.6,18.4,0.47,0.18,52.74,17.49,186625,<100,172.71,122.99,69.88,177.85,0.487,1.45,0.26,,17.64,2.48
7/18/2022,WE9,,0,Scum,,,,,,,,,,,,,,23.97,,1241.06,736.02,,,,,,,,,,5.74,,
7/18/2022,WE12,6.41,0.75,Surface,10:34,41.7028,-83.2542,9.72,overcast,1.5,24.2,280.6,2.2,57.4,7.53,413.5,4.76,0.4,0.17,6.34,12.04,108317,51,25.52,9.98,1.91,23.86,0.393,0.91,0.16,0.75,4.92,1.48
7/18/2022,WE12,,5.5,Bottom,,,,,,,24.1,280,2.3,56.5,7.45,12.2,,0.5,0.21,4.93,11.09,,,,,,,,,,,,
7/18/2022,WE13,8.75,0.75,Surface,9:24,41.7435,-83.1368,13.02,cloudy,2.5,24.2,263.5,1.2,73.4,7.45,388.7,1.74,0.23,0.19,8.27,10.08,88005,112,17.71,7.53,2.65,9.63,0.311,0.76,0.11,0.46,2.96,1.2
7/18/2022,WE13,,8,Bottom,,,,,,,24.1,263.4,1.2,73.6,7.17,32.7,,<0.1,0.19,12.19,13.99,,,,,,,,,,,,
7/18/2022,WE16,5.78,0.75,Surface,10:00,41.6604,-83.147,9.72,cloudy,2.75,24.1,260.3,1.4,70.8,7.5,554.3,2.49,0.13,0.18,8.23,9.79,208303,24,19.58,9.49,2.46,20.71,1.078,0.68,0.11,0.45,2.76,1
7/25/2022,WE2,5.32,0.75,Surface,13:02,41.7639,-83.3317,3.89,clear,1,25.9,300.1,3.6,40.7,8.9,1067.3,10.5,7.39,0.48,109.72,63.23,170444,517,53.48,14.23,2.06,19.78,0.188,4.35,0.68,,13.8,9.5
7/25/2022,WE2,,4.6,Bottom,,,,,,,25.5,303.9,3,47.5,8.61,3.5,,3.7,0.36,96.9,54.45,,,,,,,,,,,,
