,station_name,timestamp,lat,lon,particulate_microcystin,dissolved_microcystin,extracted_phycocyanin,extracted_chla,turbidity,tss,vss,cdom,date
178,WE2,2014-07-08 10:53:00,41.7646,-83.3302,0.29,,1.18,6.85,3.55,4.62,1.65,,7/8/2014
179,WE4,2014-07-08 13:22:00,41.8267,-83.1967,0.01,,0.6,3.55,1.16,2.56,0.71,,7/8/2014
180,WE6,2014-07-08 11:23:00,41.7145,-83.3795,0.01,,13.75,46.27,11.9,16.39,4.68,,7/8/2014
181,WE8,2014-07-08 14:37:00,41.8347,-83.3609,0.01,,0.09,3.15,2.45,2.73,0.48,,7/8/2014
182,WE12,2014-07-08 12:09:00,41.703,-83.254,0.01,,0.12,6.98,9.47,18.43,1.62,,7/8/2014
183,WE13,2014-07-08 12:44:00,41.7426,-83.1368,0.01,,0.14,3.3,2.22,3.28,0.6,,7/8/2014
184,WE2,2014-07-14 10:00:00,41.7629,-83.3307,1.02,,17.18,10.43,3.61,3.91,2.25,,7/14/2014
185,WE4,2014-07-14 12:30:00,41.8266,-83.1937,0.17,,0.71,3.96,1.07,0.97,0.61,,7/14/2014
186,WE6,2014-07-14 10:38:00,41.71,-83.3812,0.57,,0.87,19.29,5.41,4.97,1.21,,7/14/2014
187,WE8,2014-07-14 13:15:00,41.8353,-83.3503,0.5,,0.56,3.79,1.93,1.63,0.65,,7/14/2014
188,WE12,2014-07-14 11:17:00,41.7037,-83.2607,0.01,,0.73,7.74,3.7,4.42,1.05,,7/14/2014
189,WE13,2014-07-14 11:49:00,41.7423,-83.1387,0.44,,0.96,4.28,0.99,1.38,0.98,,7/14/2014
190,WE2,2014-07-21 09:41:00,41.7643,-83.3323,4.94,,5.13,16.26,7.21,5.82,3.85,,7/21/2014
191,WE4,2014-07-21 12:15:00,41.8272,-83.1956,1.82,,6.14,5.95,1.57,3.18,2.3,,7/21/2014
192,WE6,2014-07-21 10:18:00,41.7135,-83.3798,19.18,,148.94,68.1,24.7,17.6,13.2,,7/21/2014
193,WE8,2014-07-21 13:01:00,41.834,-83.3632,3.74,,1.03,8.8,2.04,2.64,2.08,,7/21/2014
194,WE12,2014-07-21 11:03:00,41.7037,-83.2564,6.14,,5.59,18.62,5.58,6.74,3.48,,7/21/2014
195,WE13,2014-07-21 11:43:00,41.7423,-83.1371,2.81,,1.76,7.81,6.67,3.96,1.57,,7/21/2014
196,WE2,2014-07-29 09:42:00,41.7646,-83.3308,3.98,,8.81,10.02,3.52,3.13,2.01,0.64,7/29/2014
197,WE4,2014-07-29 12:17:00,41.8273,-83.1952,1.01,,4.77,6.12,2.45,2.71,1.74,0.37,7/29/2014
198,WE6,2014-07-29 10:17:00,41.7123,-83.382,37.06,,201.19,126.14,23.2,22.53,13.57,2.45,7/29/2014
199,WE8,2014-07-29 13:09:00,41.8352,-83.3626,5.85,,49.57,42.11,9.0,10.1,6.92,1.12,7/29/2014
200,WE12,2014-07-29 10:53:00,41.7028,-83.2579,6.93,,27.74,33.15,15.5,17.86,6.32,1.17,7/29/2014
201,WE13,2014-07-29 11:27:00,41.7387,-83.1364,1.74,,2.56,5.63,2.35,3.44,1.29,0.49,7/29/2014
202,WE2,2014-08-04 10:46:00,41.7652,-83.3306,4.33,,39.01,29.44,8.99,10.93,5.0,1.22,8/4/2014
203,WE4,2014-08-04 14:45:00,41.8286,-83.1942,1.54,,15.38,18.11,3.56,5.65,4.7,0.56,8/4/2014
204,WE6,2014-08-04 11:30:00,41.7113,-83.3772,10.14,,93.15,71.62,21.9,18.92,12.35,1.37,8/4/2014
205,WE8,2014-08-04 15:30:00,41.8376,-83.3637,4.31,,21.34,46.53,12.3,14.93,9.1,0.78,8/4/2014
206,WE12,2014-08-04 12:48:00,41.7026,-83.263,9.28,,45.43,54.46,17.7,16.6,10.77,1.04,8/4/2014
207,WE13,2014-08-04 14:08:00,41.7423,-83.1381,1.17,,8.46,6.74,2.11,2.79,2.08,0.25,8/4/2014
208,1-Aug,2014-08-04 12:00:00,41.7152,-83.3287,8.19,,34.93,51.2,22.3,22.1,9.43,,8/4/2014
209,2-Aug,2014-08-04 13:25:00,41.676,-83.2388,10.58,,64.57,69.44,20.4,18.5,14.23,,8/4/2014
210,WE2,2014-08-11 11:34:00,41.7643,-83.332,29.3,,268.78,71.96,41.9,41.45,15.0,1.19,8/11/2014
211,WE4,2014-08-11 13:30:00,41.8263,-83.1948,11.4,,52.11,30.23,12.0,11.5,7.6,0.64,8/11/2014
212,WE6,2014-08-11 12:00:00,41.712,-83.3792,36.7,,70.87,97.96,66.3,56.8,20.9,1.21,8/11/2014
213,WE8,2014-08-11 14:02:00,41.8335,-83.3631,8.9,,74.46,45.89,22.6,19.7,9.47,0.74,8/11/2014
214,WE12,2014-08-11 12:31:00,41.7033,-83.2587,2.9,,16.97,11.58,11.0,11.57,3.13,0.56,8/11/2014
215,WE13,2014-08-11 13:02:00,41.7415,-83.1484,3.4,,5.86,8.81,8.5,6.2,1.68,0.53,8/11/2014
216,WE2,2014-08-18 09:38:00,41.758,-83.3336,4.71,,23.89,39.39,22.5,20.43,7.6,0.82,8/18/2014
217,WE4,2014-08-18 12:31:00,41.8265,-83.1948,0.21,,1.08,5.86,1.49,1.95,1.0,0.22,8/18/2014
